id,name,family,style,alc_vol,bitter,ounces
213,Wee Mac Scottish-Style Ale,Other Ales,Scottish Ale,0.054000000000000006,23,16
2312,Camelback,Pale Ale,American IPA,0.061,60,12
1493,Black House,Stout & Bitter,American Stout,0.057999999999999996,40,16
1692,Hopped on the High Seas (Ahtanum),Pale Ale,American IPA,0.07,60,12
2310,PUNK'N,Other Ales,Pumpkin Ale,0.05,10,12
759,Double Haul IPA (2009),Pale Ale,American IPA,0.065,65,16
1309,Face Plant IPA,Pale Ale,American IPA,0.062,65,12
2025,Vertex IPA,Pale Ale,American IPA,0.063,76,12
1291,Narragansett Bohemian Pilsner,Lager & Pilsener,German Pilsener,0.086,35,16
424,Sweet Action (2011),Other Ales,Cream Ale,0.052000000000000005,34,16
1463,Hideout Helles,Lager & Pilsener,Munich Helles Lager,0.069,17,12
1078,Schlafly IPA,Pale Ale,American IPA,0.045,30,12
1328,Deviant Dale's IPA,Pale Ale,American Double / Imperial IPA,0.08,85,16
693,Flying Jenny Extra Pale Ale (2012),Pale Ale,American Pale Ale (APA),0.06,54,12
1723,Hop Nosh IPA,Pale Ale,American IPA,0.073,83,12
1058,33 Select Brown Ale,Other Ales,American Brown Ale,0.065,26,16
729,Midnight Ryder,Other Ales,American Black Ale,0.065,80,12
432,Hop Crisis,Pale Ale,American Double / Imperial IPA,0.09699999999999999,94,12
1295,Summerfest,Lager & Pilsener,Czech Pilsener,0.05,28,12
1506,Miami Vice IPA,Pale Ale,American IPA,0.071,62,12
2302,Pinner Throwback IPA,Pale Ale,American IPA,0.049,35,12
637,Monkeynaut IPA,Pale Ale,American IPA,0.07200000000000001,70,12
1519,Saison 88,Other Ales,Saison / Farmhouse Ale,0.055,30,12
159,Scape Goat Pale Ale (2010),Pale Ale,English Pale Ale,0.05,40,12
2635,Sparkle,Lager & Pilsener,American Pale Lager,0.040999999999999995,12,16
601,Winter Games Select #32 Stout,Stout & Bitter,American Stout,0.057,26,16
2231,American Light,Lager & Pilsener,Light Lager,0.032,13,12
2426,Clean Shave IPA,Pale Ale,American IPA,0.067,70,12
972,Rude Parrot IPA,Pale Ale,American IPA,0.059000000000000004,75,16
584,Wee Muckle (2011),Other Ales,Scotch Ale / Wee Heavy,0.09,30,16
663,TailGate IPA,Pale Ale,American IPA,0.05,44,24
2664,Habitus,Pale Ale,American Double / Imperial IPA,0.08,100,16
781,Choc Beer (2003),Other Ales,American Dark Wheat Ale,0.04,9,12
971,Phat Chance,Other Ales,American Blonde Ale,0.052000000000000005,27,12
2235,Day Hike Session,Pale Ale,American IPA,0.040999999999999995,41,12
948,Circuit Bohemian Pilsner,Lager & Pilsener,Czech Pilsener,0.045,35,16
1444,Dale's Pale Ale,Pale Ale,American Pale Ale (APA),0.065,65,12
1354,541 American Lager,Lager & Pilsener,American Pale Lager,0.048,13,12
465,Sympathy for the Lager,Lager & Pilsener,American Amber / Red Lager,0.049,45,12
602,Boji Blue Pale Ale,Pale Ale,American Pale Ale (APA),0.05,45,16
2080,8 Barrel,Other Ales,American Strong Ale,0.08,69,16
308,Good People American Brown Ale,Other Ales,American Brown Ale,0.057999999999999996,36,12
1670,Manzanita Pale Ale,Pale Ale,American Pale Ale (APA),0.066,44,12
1608,Global Warmer,Other Ales,American Strong Ale,0.07,70,12
1348,KelSo Pilsner,Lager & Pilsener,Czech Pilsener,0.055,23,12
